,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,remotework,salary
43,Yes,travel_rarely,290.04,Research & Development,16,Masters,,44,3,Female,36.25,4,1,Laboratory technician,1,Single,6090.75,1,No,16,3.0,3,Part Time,0,18.0,1,3.0,17,,15,14,1987,Yes,28111.13
44,No,non-travel,476.15,Research & Development,8,Masters,Life Sciences,45,4,Female,,2,2,Research scientist,1,Divorced,9999.17,8,Yes,23,4.0,1,Part Time,3,,2,3.0,16,,1,7,1977,No,46150.0
45,No,travel_rarely,556.26,Sales,1,Masters,,46,4,Male,,3,2,Sales executive,2,Married,11681.39,0,No,15,3.0,1,,2,16.0,3,,15,,5,8,1985,Yes,53914.11
46,No,non-travel,1032.49,Research & Development,1,Masters,,47,1,Female,,2,3,Healthcare representative,1,Single,21682.23,3,No,20,4.0,3,Part Time,0,23.0,1,2.0,13,,12,8,1972,Yes,100071.84
47,No,non-travel,1749.74,Unknown,26,Professional Certification,,48,3,Male,,3,4,Manager,4,Married,36744.5,1,Yes,12,3.0,4,Full Time,2,25.0,3,4.0,25,,4,12,1980,Yes,169590.0
48,No,non-travel,290.04,Research & Development,1,Bachelor,Life Sciences,49,4,Female,,3,1,Research scientist,4,Single,6090.75,1,No,12,3.0,2,Part Time,0,,3,3.0,17,,5,7,1986,Yes,28111.13
49,No,travel_rarely,556.26,Sales,8,Professional Certification,Technical Degree,50,3,Female,,2,2,Sales executive,2,Married,11681.39,1,Yes,11,3.0,4,Part Time,0,,2,3.0,13,"12,0",11,9,1991,Yes,53914.11
50,No,non-travel,1032.49,Research & Development,1,Bachelor,,51,4,Female,,3,3,Research director,1,Married,21682.23,1,No,13,3.0,2,Part Time,1,15.0,3,3.0,15,,5,11,1985,No,100071.84
51,No,non-travel,1582.77,Unknown,3,Bachelor,Life Sciences,52,3,Female,,3,4,Manager,2,Unknown,33238.2,8,No,12,3.0,4,Full Time,1,23.0,2,4.0,13,,5,1,1977,Yes,153407.07
52,Yes,travel_rarely,1063.32,Sales,10,Bachelor,Medical,53,4,Male,,2,3,Sales executive,1,Married,22329.67,9,No,17,3.0,3,,0,15.0,3,,13,,6,0,1988,No,103059.95999999999
53,No,non-travel,1973.98,Unknown,6,Bachelor,Medical,54,1,Female,,2,5,Manager,3,Married,41453.67,7,No,13,3.0,4,,0,21.0,2,3.0,16,,6,14,1980,Yes,191324.63999999998
54,No,non-travel,556.26,Research & Development,1,Masters,Life Sciences,55,3,Male,,3,2,Healthcare representative,3,Divorced,11681.39,1,No,21,,1,,1,,2,2.0,13,,1,9,1967,Yes,53914.08
55,No,non-travel,557.76,Sales,15,Masters,Marketing,56,4,Male,,1,2,Sales executive,4,Divorced,11713.0,1,No,24,4.0,1,Full Time,1,,4,2.0,15,,11,11,1987,Yes,54060.0
56,No,non-travel,556.26,Research & Development,6,Bachelor,Medical,57,2,Female,,1,2,Research scientist,4,Unknown,11681.39,7,No,12,3.0,4,Part Time,3,17.0,3,3.0,13,,1,9,1985,Yes,53914.11
57,No,non-travel,556.26,Research & Development,26,Masters,Medical,58,3,Female,69.53,3,2,Manufacturing director,1,Unknown,11681.39,1,No,14,3.0,3,Part Time,0,16.0,2,2.0,15,,5,11,1974,No,53914.11
58,No,travel_rarely,608.94,Sales,4,Masters,Life Sciences,59,4,Female,,2,2,Sales executive,3,Married,12787.67,4,No,14,3.0,3,Full Time,1,17.0,1,4.0,15,,5,9,1984,Yes,59020.0
59,No,non-travel,1119.96,Sales,4,Masters,,60,3,Male,140.0,2,3,Sales executive,4,Married,23519.17,7,No,11,,1,Full Time,1,15.0,2,2.0,12,,2,11,1983,Yes,108550.0
60,No,non-travel,610.17,Research & Development,5,Professional Certification,,61,4,Male,,3,2,Laboratory technician,2,Single,12813.67,8,No,16,3.0,4,Full Time,0,16.0,3,4.0,13,,3,7,1987,Yes,59140.0
61,No,non-travel,556.26,Research & Development,25,Doctor,,62,2,Female,,3,2,Research scientist,3,Married,11681.39,3,Yes,15,3.0,1,,2,15.0,2,3.0,13,,10,7,1986,No,53914.11
62,No,non-travel,685.7,Research & Development,6,Masters,,63,2,Male,,1,2,Research scientist,4,Unknown,14399.67,1,No,13,3.0,2,Full Time,0,,3,3.0,17,,11,8,1988,Yes,66460.0
63,No,travel_frequently,556.26,Research & Development,6,Bachelor,Life Sciences,64,3,Male,,3,2,Healthcare representative,4,Divorced,11681.39,3,No,23,4.0,3,Part Time,1,15.0,2,1.0,13,,4,7,1990,No,53914.11
64,No,travel_rarely,1441.66,Research & Development,24,Bachelor,,65,4,Male,,3,4,Manufacturing director,3,Married,30274.83,3,Yes,18,3.0,4,Full Time,1,22.0,2,3.0,12,,1,5,1973,No,139730.0
65,No,travel_rarely,1032.49,Research & Development,4,Masters,,66,3,Male,,2,3,Healthcare representative,3,Single,21682.23,7,No,14,,2,Part Time,0,27.0,3,3.0,15,"11,0",4,8,1975,Yes,100071.84
66,No,travel_rarely,1374.29,Sales,28,Bachelor,,67,4,Female,,4,4,Sales executive,4,Married,28860.0,3,No,18,3.0,3,,1,,2,3.0,12,,11,11,1979,Yes,133200.0
67,No,travel_rarely,556.26,Research & Development,29,Masters,,68,4,Male,69.53,3,2,Research scientist,4,Single,11681.39,1,No,25,4.0,2,Part Time,0,,3,3.0,20,,13,17,1979,Yes,53914.11
68,No,non-travel,556.26,Research & Development,25,High School or Below,,69,2,Female,,4,2,Healthcare representative,3,Unknown,11681.39,5,No,20,4.0,2,Part Time,3,15.0,0,3.0,12,,11,8,1983,Yes,53914.11
69,No,travel_rarely,689.93,Research & Development,2,Masters,,70,3,Female,86.24,3,2,Healthcare representative,4,Single,14488.5,1,No,11,3.0,4,Full Time,0,14.0,2,4.0,14,,4,11,1989,Yes,66870.0
70,No,non-travel,556.26,Research & Development,8,Masters,,71,3,Female,,3,2,Healthcare representative,3,Unknown,11681.39,1,No,12,3.0,4,Part Time,1,,5,3.0,14,,2,9,1988,Yes,53914.11
71,No,non-travel,1032.49,Research & Development,17,Doctor,Life Sciences,72,4,Female,,2,3,Research director,1,Unknown,21682.23,5,No,15,3.0,3,Part Time,3,,3,3.0,14,"11,0",1,11,1973,No,100071.84
72,No,non-travel,1582.77,Research & Development,6,High School or Below,Life Sciences,73,3,Female,197.85,2,4,Healthcare representative,3,Unknown,33238.2,2,No,19,3.0,2,Full Time,1,,3,3.0,15,,2,12,1974,Yes,153407.07
73,No,travel_frequently,488.53,Research & Development,1,Bachelor,Life Sciences,74,4,Male,61.07,3,2,Research scientist,4,Unknown,10259.17,7,No,15,3.0,4,Part Time,2,19.0,4,,13,,2,9,1985,Yes,47350.0
74,No,non-travel,290.04,Research & Development,21,Bachelor,,75,2,Male,,4,1,Laboratory technician,2,Unknown,6090.75,1,No,18,3.0,4,Part Time,3,14.0,6,,14,,2,13,1990,Yes,28111.13
75,No,travel_rarely,1032.49,Research & Development,4,Bachelor,Life Sciences,76,3,Female,,2,3,Manufacturing director,2,Divorced,21682.23,8,Yes,12,,3,Part Time,1,,4,3.0,22,,14,10,1976,Yes,100071.84
76,No,non-travel,556.26,Research & Development,8,Bachelor,,77,4,Female,,2,2,Research scientist,2,Divorced,11681.39,1,No,16,3.0,3,,1,20.0,3,3.0,20,,0,7,1985,No,53914.08
77,No,travel_rarely,1032.49,Research & Development,10,Bachelor,Life Sciences,78,3,Female,,4,3,Research director,4,Unknown,21682.23,1,Yes,25,4.0,1,Part Time,1,16.0,2,3.0,16,,6,8,1986,Yes,100071.84
78,No,non-travel,556.26,Research & Development,2,Bachelor,,79,3,Male,,2,2,Healthcare representative,4,Married,11681.39,1,No,19,,1,Part Time,3,11.0,3,3.0,11,,10,8,1993,Yes,53914.11
79,No,travel_rarely,1431.24,Sales,18,Masters,,80,4,Male,,3,4,Sales executive,3,Single,30056.0,0,No,13,3.0,3,Full Time,0,38.0,1,2.0,37,,1,8,1965,Yes,138720.0
80,No,travel_rarely,1032.49,Unknown,5,Bachelor,,81,3,Female,,2,3,Manager,1,Single,21682.23,2,No,12,3.0,4,,0,14.0,6,3.0,11,,5,8,1989,No,100071.84
81,Yes,travel_rarely,1032.49,Research & Development,23,Masters,Medical,82,4,Female,,3,3,Healthcare representative,4,Married,21682.23,1,No,12,3.0,4,Part Time,1,40.0,3,2.0,40,,15,6,1965,Yes,100071.84
82,No,non-travel,1032.49,Sales,3,Bachelor,Life Sciences,83,1,Male,,3,3,Sales executive,3,Divorced,21682.23,0,No,12,3.0,3,,2,,6,2.0,16,,5,13,1985,Yes,100071.84
83,No,travel_frequently,1032.49,Sales,1,High School or Below,,84,2,Female,,3,3,Sales executive,4,Married,21682.23,1,No,14,3.0,4,Part Time,1,11.0,5,3.0,11,,4,1,1994,Yes,100071.84
84,No,travel_rarely,1964.96,Unknown,1,Bachelor,Medical,85,4,Male,245.62,3,5,Manager,1,Single,41264.17,0,No,14,3.0,3,Full Time,0,37.0,2,3.0,36,,4,13,1968,Yes,190450.0
85,No,non-travel,1652.34,Unknown,10,Masters,,86,4,Male,,3,4,Manager,2,Unknown,34699.17,1,No,19,3.0,2,,0,,2,3.0,22,,0,4,1982,Yes,160149.96
86,No,travel_rarely,991.82,Research & Development,1,Bachelor,,87,3,Male,123.98,4,3,Healthcare representative,4,Unknown,20828.17,0,No,17,,1,Part Time,3,19.0,5,2.0,18,,3,7,1984,No,96130.0
87,No,non-travel,1187.54,Research & Development,15,Professional Certification,Life Sciences,88,3,Male,148.44,2,3,Research director,4,Unknown,24938.33,0,No,14,3.0,2,Full Time,1,,3,3.0,11,,2,9,1985,Yes,115100.0
88,No,non-travel,1582.77,Research & Development,12,Bachelor,,89,1,Male,,2,4,Research director,2,Unknown,33238.2,1,No,11,3.0,3,Full Time,1,,3,,25,,3,9,1980,Yes,153407.07
89,No,non-travel,444.27,Research & Development,30,Professional Certification,,90,2,Female,,3,2,Manufacturing director,1,Married,9329.67,1,No,12,3.0,2,,1,13.0,5,1.0,13,,3,12,1992,Yes,43059.96
90,No,travel_rarely,1758.71,Research & Development,27,Masters,Life Sciences,91,2,Male,,2,4,Manager,3,Married,36933.0,0,No,15,3.0,2,Full Time,1,28.0,2,3.0,27,,15,7,1973,Yes,170460.0
91,No,non-travel,1032.49,Research & Development,25,Bachelor,Technical Degree,92,4,Male,129.06,2,3,Manufacturing director,2,Married,21682.23,3,No,16,,1,Part Time,0,,2,3.0,13,,4,8,1988,No,100071.84
92,No,non-travel,522.79,Research & Development,16,Masters,,93,3,Male,,4,2,Manufacturing director,3,Unknown,10978.5,1,Yes,19,3.0,3,,0,20.0,3,,19,,2,7,1976,Yes,50670.0
93,No,non-travel,1032.49,Research & Development,25,Masters,,94,3,Female,129.06,3,3,Healthcare representative,3,Divorced,21682.23,1,Yes,11,,3,Part Time,1,,3,2.0,16,,10,1,1988,Yes,100071.84
94,No,travel_rarely,1032.49,Research & Development,20,Masters,,95,1,Male,129.06,3,3,Healthcare representative,4,Married,21682.23,4,No,20,4.0,4,Part Time,1,14.0,6,3.0,11,,11,1,1983,Yes,100071.84
95,No,non-travel,556.26,Sales,9,Masters,Life Sciences,96,2,Female,,2,2,Sales executive,3,Married,11681.39,1,No,13,3.0,4,Part Time,1,15.0,2,3.0,15,,4,12,1978,No,53914.11
96,No,non-travel,290.04,Research & Development,9,Bachelor,Medical,97,1,Male,,3,1,Research scientist,4,Married,6090.75,0,No,13,3.0,2,,1,15.0,5,3.0,14,,4,10,1990,No,28111.13
97,No,travel_frequently,380.92,Research & Development,3,Bachelor,,98,3,Male,,3,1,Research scientist,2,Married,7999.33,1,No,12,3.0,3,Full Time,0,12.0,2,2.0,11,,0,7,1987,No,36920.0
98,Yes,non-travel,1973.98,Unknown,13,Bachelor,Marketing,99,1,Female,246.75,1,5,Manager,2,Unknown,41453.67,2,Yes,16,3.0,1,Full Time,0,26.0,2,3.0,24,,1,11,1978,Yes,191324.62
99,No,travel_frequently,2047.71,Unknown,27,Bachelor,,100,2,Male,255.96,3,5,Manager,2,Unknown,43001.83,4,Yes,24,,1,Full Time,1,,5,2.0,29,,11,10,1972,No,198470.0
100,No,travel_rarely,238.13,Sales,7,Professional Certification,Technical Degree,101,2,Male,,3,1,Sales representative,3,Unknown,5000.67,0,Yes,25,4.0,2,Part Time,1,12.0,4,3.0,11,,5,7,1989,No,23080.0
101,No,travel_rarely,1582.77,Research & Development,15,Professional Certification,,102,3,Male,,2,4,Research director,3,Unknown,33238.2,1,No,24,4.0,1,Full Time,1,,3,3.0,14,,6,11,1980,Yes,153407.07
102,No,non-travel,556.26,Research & Development,5,Professional Certification,Medical,103,2,Male,,2,2,Laboratory technician,4,Unknown,11681.39,1,No,14,3.0,3,Part Time,1,,3,,15,,4,13,1989,No,53914.11
103,No,non-travel,290.04,Human Resources,2,Bachelor,,104,1,Male,,3,1,Human resources,2,Divorced,6090.75,5,No,13,3.0,4,Part Time,3,13.0,3,3.0,11,,3,8,1985,Yes,28111.13
104,No,non-travel,1973.98,Research & Development,10,Bachelor,,105,4,Male,,2,5,Research director,2,Unknown,41453.67,4,No,12,3.0,4,Full Time,0,29.0,3,3.0,22,,12,9,1975,No,191324.62
105,No,non-travel,592.94,Research & Development,22,Masters,Other,106,3,Male,,2,2,Research scientist,4,Married,12451.83,1,Yes,15,3.0,2,Full Time,0,16.0,3,3.0,15,,6,11,1989,No,57470.0
106,No,travel_rarely,1075.29,Sales,31,Masters,,107,3,Female,134.41,3,3,Sales executive,4,Unknown,22581.0,1,No,19,3.0,3,Full Time,2,14.0,3,3.0,14,,5,7,1991,Yes,104220.0
107,No,travel_rarely,1032.49,Research & Development,21,Masters,Life Sciences,108,2,Female,,4,3,Manufacturing director,1,Divorced,21682.23,1,No,11,3.0,3,,1,10.0,1,3.0,10,,8,8,1994,No,100071.84
108,No,non-travel,1032.49,Research & Development,1,Bachelor,Medical,109,3,Male,,2,3,Healthcare representative,1,Married,21682.23,2,Yes,13,3.0,3,,1,21.0,5,2.0,10,,9,5,1977,No,100071.84
109,No,non-travel,654.85,Human Resources,9,Bachelor,,110,3,Male,,3,2,Human resources,4,Married,13751.83,0,Yes,19,3.0,4,Full Time,0,,2,1.0,11,,4,7,1993,No,63470.0
110,No,non-travel,242.25,Research & Development,9,Bachelor,Life Sciences,111,2,Male,,3,2,Laboratory technician,2,Unknown,5087.33,8,No,18,3.0,3,Part Time,1,20.0,2,,17,,0,15,1978,Yes,23480.0
111,No,travel_rarely,1032.49,Sales,5,Bachelor,,112,2,Female,129.06,3,3,Sales executive,4,Unknown,21682.23,2,No,12,3.0,3,Part Time,1,,2,3.0,10,,7,4,1993,Yes,100071.84
112,No,non-travel,316.95,Research & Development,9,Bachelor,,113,3,Male,,3,2,Laboratory technician,1,Unknown,6656.0,1,No,11,,3,Part Time,2,12.0,4,3.0,12,,6,10,1993,Yes,30720.0
113,No,travel_frequently,556.26,Research & Development,29,High School or Below,,114,4,Male,,2,2,Manufacturing director,3,Married,11681.39,1,No,17,3.0,3,,0,10.0,2,2.0,10,,1,9,1989,No,53914.08
114,No,travel_rarely,1288.65,Research & Development,8,Masters,Life Sciences,115,2,Male,,2,3,Research director,2,Married,27061.67,5,No,16,3.0,4,Full Time,2,16.0,5,1.0,10,,4,7,1972,No,124900.0
115,No,non-travel,556.26,Research & Development,39,Masters,Life Sciences,116,3,Male,69.53,2,2,Manufacturing director,1,Unknown,11681.39,6,No,13,3.0,2,Part Time,1,13.0,3,3.0,11,,5,9,1989,Yes,53914.11
116,No,travel_rarely,827.46,Sales,16,Bachelor,,117,3,Male,,3,3,Sales executive,2,Married,17376.67,0,No,15,3.0,3,Part Time,2,12.0,3,2.0,11,,6,9,1988,Yes,80200.0
117,No,travel_frequently,1032.49,Research & Development,7,Bachelor,Life Sciences,118,1,Male,,3,3,Laboratory technician,1,Unknown,21682.23,1,No,18,3.0,1,Part Time,1,24.0,2,3.0,24,,9,11,1978,Yes,100071.84
118,No,non-travel,1760.98,Unknown,10,High School or Below,,119,3,Male,,3,4,Manager,1,Married,36980.67,1,No,14,,4,Full Time,0,21.0,3,3.0,21,,11,10,1984,Yes,170680.0
119,No,non-travel,922.69,Research & Development,7,Professional Certification,,120,3,Female,,2,3,Manufacturing director,3,Married,19376.5,1,No,24,4.0,1,Part Time,1,10.0,2,3.0,10,,8,9,1992,No,89430.0
120,No,non-travel,1988.38,Research & Development,7,Professional Certification,,121,3,Male,,2,5,Manager,4,Married,41756.0,1,No,15,3.0,1,Full Time,1,,2,3.0,21,,13,3,1984,Yes,192720.0
121,No,travel_rarely,556.26,Research & Development,8,Masters,,122,4,Male,69.53,3,2,Research scientist,4,Unknown,11681.39,9,No,14,3.0,1,Part Time,2,12.0,3,3.0,10,,9,8,1978,Yes,53914.11
122,No,travel_rarely,556.26,Sales,5,Bachelor,Marketing,123,4,Female,,2,2,Sales executive,3,Unknown,11681.39,1,No,13,3.0,3,,3,10.0,2,3.0,10,,1,2,1993,Yes,53914.08
123,No,non-travel,1032.49,Research & Development,7,Masters,Medical,124,3,Female,129.06,3,3,Manufacturing director,4,Unknown,21682.23,1,No,14,3.0,3,Part Time,0,11.0,2,2.0,11,,4,10,1992,No,100071.84
124,No,non-travel,1032.49,Sales,3,Masters,Medical,125,1,Male,,2,3,Sales executive,4,Married,21682.23,4,No,11,3.0,1,Part Time,1,16.0,2,3.0,13,,1,12,1987,Yes,100071.84
125,No,travel_rarely,1032.49,Sales,2,Professional Certification,,126,2,Male,,2,3,Sales executive,3,Married,21682.23,1,No,13,3.0,2,Part Time,2,10.0,2,3.0,10,,9,0,1987,Yes,100071.84
126,No,travel_rarely,1582.77,Unknown,18,Doctor,,127,1,Female,197.85,3,4,Manager,2,Single,33238.2,3,No,23,4.0,4,Full Time,0,37.0,2,3.0,10,,7,7,1968,Yes,153407.07
